type,angle,number_of_markers,uuid
pnp,0,1,42f4400e-b199-435a-b29e-74b925205dda
pnp,10,1,2148be69-98d4-4fdc-b5e3-98b030e09c13
pnp,20,1,6f38c006-1b3d-485f-bb6f-41f043793404
pnp,30,1,b44b743a-39c5-482f-ab57-b7ac319160a2
pnp,40,1,a83616bc-6ec2-48a0-902b-b44e691f4e3e
pnp,50,1,bfdbe85d-4b5d-4adf-8833-1c655abd0ebc
pnp,60,1,edfbdda5-c796-48b9-921c-ec7353073ba7
pnp,70,1,7bc8d6f4-a69b-4d15-a6e1-12d6f3adf894
pnp,80,1,e3dd3862-cdc6-4ba2-9a02-035ca378a8a2
clahe,0,1,75f629fc-bc5a-4d42-b00c-1b80a58bc742
clahe,10,1,09af23fb-b8e0-413a-9645-bb790d9bb4ee
clahe,20,1,7a2f9eec-2d93-437d-90e1-ad206672338b
clahe,30,1,f3190e70-1c0f-4b65-8e5c-2590e59271c6
clahe,40,1,fc0c8caa-f12d-41ba-bd98-fbe9ad1312d9
clahe,50,1,fc79dfd0-d57a-4c64-a788-9bc434912fc2
clahe,60,1,5f328737-93e6-4415-83ca-907ba5b5c24e
clahe,70,1,06c1e3b2-4b2b-4f7c-8580-b494abd11e23
clahe,80,1,4a2072e6-c9ab-4568-81f2-c5045d991479
aruco,0,1,5370c26d-0ad3-41ed-813a-1cb7a1a9e795
aruco,10,1,e0161fe1-70d8-404d-ae5f-4e4faf8418bf
aruco,20,1,22d8a679-a869-496c-b5c7-13c2b8b355ab
aruco,30,1,8ddfd9f3-1fd8-4ed1-ac11-534560891d26
aruco,40,1,ea61a6f1-7598-45c3-9b66-8ba5267a066e
aruco,50,1,2f9f283c-d9ac-4325-a22a-218dcc12363c
aruco,60,1,92312b58-fded-4d6f-a59d-8527d1aa0b6e
aruco,70,1,93fe677e-6bc2-4910-9265-8ceca95353fb
aruco,80,1,21686ecd-60c4-4f33-bc67-fb3b53dc6e99
pnp,0,2,07e70e19-78b5-4d13-a770-f57c9382ebc1
pnp,10,2,8c4eee04-3660-4182-b261-14e920ba5867
pnp,20,2,5b65aee5-5688-4e20-9f00-f126b0cc6e20
pnp,30,2,58ab1c6e-1873-4ad3-a03d-c08dfacc9120
pnp,40,2,1156b81e-4eca-4dc0-ad25-94dab5eb95f8
pnp,50,2,ac206f4a-2e58-4140-8e8c-fa5ed63629ac
pnp,60,2,4f42ad29-9caf-4d11-8a3c-90e0f02749d7
pnp,70,2,f04cd7ab-befb-430b-999f-7b0e95375877
pnp,80,2,04afb155-363f-42ea-a3d6-883dfc8e45ba
clahe,0,2,1931d99e-b112-4725-9087-568614c75586
clahe,10,2,1a6cdd11-f8bf-4491-89c2-8105b444a88f
clahe,20,2,df946bba-bf98-4f71-92ba-fc4da33060e7
clahe,30,2,c73a853d-532a-4b99-b047-688738388f65
clahe,40,2,a4661d40-2129-492d-b018-e58769dcc6f7
