type,distance,size,uuid
pnp,0.1,"0.08",80269284-ce86-4ff7-a96c-53b49170a86b
pnp,0.2,"0.08",90afa54d-f390-4ff8-88a2-ff5c944d8ae3
pnp,0.4,"0.08",8219feb4-4693-481c-9eef-4b03e0929de4
pnp,0.8,"0.08",7931c907-6bfd-45f4-a650-34cc4d2514e9
pnp,1.6,"0.08",fc3b0e81-c9a4-4b04-abc1-69a0a5ede9a7
pnp,2.5,"0.08",1225555c-bb03-45da-b509-928d41c96477
pnp,3.5,"0.08",a0d3c819-72ee-4e55-bf8c-ad3f7ac3b2dd
clahe,0.1,"0.08",596e6adf-03b5-47fa-bb01-2bbb56cd30c7
clahe,0.2,"0.08",b23df515-6380-4dbb-b00d-d085e05571fe
clahe,0.4,"0.08",1957221f-ebae-43cb-bb39-e19125a2b11b
clahe,0.8,"0.08",086cd06c-a1a0-4814-87db-87950f431e13
clahe,1.6,"0.08",791224cd-59a7-4d58-a497-00d5a3bd261f
clahe,2.5,"0.08",ee5a42a3-d973-4bfa-a2ad-3e16587da1ea
clahe,3.5,"0.08",0a492343-3c38-4d33-b7d9-f79099c8e605
aruco,0.1,"0.08",77641fd5-e928-415a-a3ba-4235d10b3ed5
aruco,0.2,"0.08",016116c8-7472-45d0-ba68-2d0e74cb060c
aruco,0.4,"0.08",7056abcd-55bb-46de-a3b8-7047e19cc1b1
aruco,0.8,"0.08",9f2b5bc8-3044-4893-822f-31145507677d
aruco,1.6,"0.08",2df1a766-2720-4984-ae4a-8c54485ff5a9
aruco,2.5,"0.08",d74e1417-770a-4738-ba53-fb2d534c4a3d
aruco,3.5,"0.08",3db1952c-4e48-4da5-992d-1da0b368b722
pnp,0.1,"0.027",ca76ae32-ed6b-491b-946b-b375fac47733
pnp,0.2,"0.027",b08deb49-845c-4db7-b688-490369c6c01e
pnp,0.4,"0.027",f2be66f2-3298-4b24-9227-5f874c50aaeb
pnp,0.8,"0.027",3fd46c67-a0c1-4faf-9acf-99bcba5d4106
pnp,1.6,"0.027",80b4a101-d3e3-4b1c-b1a2-87d7bcbc8c9e
pnp,2.5,"0.027",168daba4-4255-4651-a24d-d8de54d659e2
pnp,3.5,"0.027",b8ecad4b-5f04-4b12-ad6d-52c1a6a5a49e
clahe,0.1,"0.027",bef3c4bc-bf9f-4efa-86ae-ab198c42b8a3
clahe,0.2,"0.027",93824d16-29cf-4eab-8921-ec0892f86aa6
clahe,0.4,"0.027",c16ed45f-c8dd-4f5c-8a85-479367593dbc
clahe,0.8,"0.027",764f7feb-ef71-43c6-95c4-c7fa670c0ed7
clahe,1.6,"0.027",087e13e8-ea98-432b-aede-51356933fe74
clahe,2.5,"0.027",66e8b00f-88c6-4d79-95ec-124575b71da6
clahe,3.5,"0.027",3a629bba-e078-4231-8385-6484c9509fbc
aruco,0.1,"0.027",8d3c010b-6a40-4888-bf00-7e1d28c23ee6
aruco,0.2,"0.027",9071571f-89fe-4cc2-ad8d-394f17abbcaa
aruco,0.4,"0.027",ddfa04b8-d389-4271-9e41-df6f0b89770c
aruco,0.8,"0.027",834f69c8-21c3-4951-9b35-1a48ec0653bf
aruco,1.6,"0.027",8fa81813-8b0e-4375-a052-4c75395825af
aruco,2.5,"0.027",8220516e-ce16-44d8-a634-9f832533790d
aruco,3.5,"0.027",6c51d4ad-39f5-430f-81c6-16b8700afe82
pnp,0.1,"0.187",a997833a-3610-4ef4-b418-8bcf0cb01210
pnp,0.2,"0.187",f505f8e5-77e8-423d-9ca5-75fa5fd5853f
pnp,0.4,"0.187",3a5edd9c-1108-42fb-b5a1-13c258572884
pnp,0.8,"0.187",8e372a76-5391-4649-ad85-6bdb57030e89
pnp,1.6,"0.187",4a954c9b-4a61-4ad3-be7d-603d4f4f9b6f
pnp,2.5,"0.187",87877140-cf82-46ac-ae12-f1a68a4f2af5
pnp,3.5,"0.187",4fdaec38-7f7e-4199-a551-bffdcfb62f87
clahe,0.1,"0.187",30323cd3-7b5f-4e48-817f-ee60a4e0e35e
clahe,0.2,"0.187",a1c119a4-30f2-4e44-a5f8-9bb457b13cfd
clahe,0.4,"0.187",b15b7b3f-5a31-4846-8e8a-76113741d585
clahe,0.8,"0.187",3b53a77e-b146-435b-9a56-58cc9561cfc4
clahe,1.6,"0.187",99cbf33b-12cd-48a5-b7ac-dd803945358f
clahe,2.5,"0.187",440c0dd1-e148-4c45-8a86-24bf7c030cb5
clahe,3.5,"0.187",8478a957-607c-4146-b8dd-cdd63f36c210
aruco,0.1,"0.187",777d12fa-1a38-457f-860f-6d6ad607a991
aruco,0.2,"0.187",52903a13-1760-4580-a7ca-7cbd569c6bd5
aruco,0.4,"0.187",6cd3f97e-fbc6-4df8-bde5-a7758468d416
aruco,0.8,"0.187",8ab21784-313c-4b56-a09f-763da073cba5
aruco,1.6,"0.187",a13d6e2a-e853-467d-a88e-5d2ba962a0b7
aruco,2.5,"0.187",41a27834-3f3e-4ce9-a0e6-0f1fe747d7fe
aruco,3.5,"0.187",11c0344e-d7f0-4423-82e5-ac460dbfe02a



