type,num,x,y,uuid
pnp,0,-0.75,0.3,1e3a135b-f237-4b2b-b677-417a246b6334
pnp,1,-0.45,0.3,0f2ffbaf-5182-487c-b9d7-ad6a61158799
pnp,2,-0.15,0.3,fee9c4ef-88a2-479e-adf9-54730cd8bf2a
pnp,3,0.15,0.3,89ef2ca6-a018-4821-b6a7-fb01e509cc2c
pnp,4,0.45,0.3,015e7bc1-e505-49d7-8fb1-4fc9cff2632a
pnp,5,0.75,0.3,828576c6-0c28-4f5d-ba21-5febadcc4263
pnp,6,-0.75,0.6,a62cd6d2-0cde-4c1d-84e3-cf92dde9739e
pnp,7,-0.45,0.6,f7cd5622-7d46-4b4f-ad88-901b8e08edaa
pnp,8,-0.15,0.6,cd996359-cdab-44f9-922d-e4b830000720
pnp,9,0.15,0.6,974998a2-4c55-44c1-aa1c-4c04be15d9dd
pnp,10,0.45,0.6,0a19c24f-a3e1-4f09-958d-cf957a8a6454
pnp,11,0.75,0.6,0e58ceb1-cdda-4153-a02e-cff758d93671
pnp,12,-0.75,0.9,217ea647-d802-47b7-9ba4-8d40f71a5fb3
pnp,13,-0.45,0.9,9b70076e-9a2b-4261-a746-20195c724feb
pnp,14,-0.15,0.9,8d8ca651-f2e8-4228-91eb-2b8d19b75cf1
pnp,15,0.15,0.9,266e2055-bff8-463c-9f4c-340c99e34e20
pnp,16,0.45,0.9,e85c190b-f54c-4c78-88c4-5b4fc5e830ab
pnp,17,0.75,0.9,7cdad42a-53e6-4a1e-8770-d5e1b2533383
pnp,18,-0.75,1.2,7c2ba2b0-4234-43d1-8b19-177e8c6f8810
pnp,19,-0.45,1.2,5385b1a7-13b6-4f99-a216-8d0c0d8533fe
pnp,20,-0.15,1.2,0f416557-ba41-4b9d-9bd2-17fd3cda9e51
pnp,21,0.15,1.2,355dddd8-be22-4d33-9fc3-cb02ff86a160
pnp,22,0.45,1.2,e8b143d2-90d9-42a6-93e6-c195258b736a
pnp,23,0.75,1.2,0558cb83-105c-46dd-b6ce-0a739b7c0406
pnp,24,-0.75,1.5,47ca0fd9-70ff-4971-8fd8-4fe169c6cfa3
pnp,25,-0.45,1.5,e50d3875-58b5-4f71-bfe5-47a7356d0d34
pnp,26,-0.15,1.5,bb3975b4-e1ef-4078-b5c9-9f797d8de0ff
pnp,27,0.15,1.5,1c692e5b-a3ac-430d-bd9c-d6290cbfdc4e
pnp,28,0.45,1.5,7cad54a2-4010-41df-ac8c-e459ddd5450e
pnp,29,0.75,1.5,77624e59-817b-4ad4-8f6b-88dd34456b01
pnp,30,-0.75,1.8,957978aa-8dcf-44b7-8736-2ec0043d8011
pnp,31,-0.45,1.8,0dc80b81-3e88-4645-bf60-19fe780f4a1b
pnp,32,-0.15,1.8,ebeb60eb-14d2-48e1-8ef1-2d94cf83ac2e
pnp,33,0.15,1.8,830dd199-7f4c-4e97-a989-e2853934bdc0
pnp,34,0.45,1.8,3021d5c9-6438-4437-8a74-043b1198047c
